root@ubuntu-s-1vcpu-1gb-tor1-01:~# ping 143.110.219.97
PING 143.110.219.97 (143.110.219.97) 56(84) bytes of data.
64 bytes from 143.110.219.97: icmp_seq=1 ttl=64 time=0.030 ms
64 bytes from 143.110.219.97: icmp_seq=2 ttl=64 time=0.039 ms
64 bytes from 143.110.219.97: icmp_seq=3 ttl=64 time=0.047 ms
64 bytes from 143.110.219.97: icmp_seq=4 ttl=64 time=0.051 ms
64 bytes from 143.110.219.97: icmp_seq=5 ttl=64 time=0.038 ms
64 bytes from 143.110.219.97: icmp_seq=6 ttl=64 time=0.050 ms
64 bytes from 143.110.219.97: icmp_seq=7 ttl=64 time=0.045 ms
64 bytes from 143.110.219.97: icmp_seq=8 ttl=64 time=0.047 ms
64 bytes from 143.110.219.97: icmp_seq=9 ttl=64 time=0.038 ms
64 bytes from 143.110.219.97: icmp_seq=10 ttl=64 time=0.037 ms
